Приложение;Процесс;День санразрыва;Код в графике;Вхождение;Участок;Цех;Средство;Птичников в цехе;Ед.изм;Норма средства на птичник;Раствор, л;Концентрация;Как задано
11;Аэрозольная газация формалином;8;ГФ;;Б;Б;Формалин 37,6%;10;л;70.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;Е;Е;Формалин 37,6%;10;л;70.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;А;А;Формалин 37,6%;10;л;70.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;Ж;Ж;Формалин 37,6%;5;л;70.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;БП 12;БП 12;Формалин 37,6%;12;л;150.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;БП 13;БП 13;Формалин 37,6%;12;л;150.0;;0.376;средство
11;Аэрозольная газация формалином;8;ГФ;;БП 14;БП 14;Формалин 37,6%;12;л;150.0;;0.376;средство
12;Газация ракет;7;ГГ;;Г;Г 1;Клеодезив;4;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;Г;Г 2;Клеодезив;4;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;Г;Г 3;Клеодезив;4;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;Г;Г 4;Клеодезив;4;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;Г;Г 5;Клеодезив;4;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;Д;Д 1;Клеодезив;4;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;Д;Д 2;Клеодезив;4;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;Д;Д 3;Клеодезив;4;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;Д;Д 4;Клеодезив;4;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;Б;Б;Клеодезив;10;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;Е;Е;Клеодезив;10;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;А;А;Клеодезив;10;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;Ж;Ж;Клеодезив;5;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;В;В;Клеодезив;15;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;БП 12;БП 12;Клеодезив;12;шт;5.0;;;средство
